Symbol,Name,Article,Time,Body,Tokenize,Label
PCG^E,PCG^E,,,,,
JCP,"J.C. Penney Company, Inc. Holding Company",19:None,None,[],,
HBHC,Hancock Holding Company,,,,,
MET,"MetLife, Inc.","2:    
    Jefferies says these stocks should beat the market if inflation increases","	  Friday,  3 Feb 2017 | 10:19  AM ET","Investors worried about rising inflation should buy stocks with steady costs, making them less vulnerable to swings in prices, Jefferies told clients on Thursday.    ""We continue to recommend owning companies with high fixed costs over rising variable costs. Equally with valuations already discounting a significant recovery, investors should remain wary of expensive stocks,"" Sean Darby, chief global equity strategist, wrote in a research note.     Darby says a strong U.S. dollar is the ""main headwind"" for corporate earnings, as seen in a decline in foreign revenues among multinationals, while a rise in input costs, such as wages and raw materials, could further impact margins.     ""The bottom line is that while a value strategy will work in the U.S., investors should keep an eye on margins and the degree of operating leverage or asset turns stocks offer. Inflation ought to mean higher and faster pricing power but it will mean a jump in costs,"" he said.  The following equities made Darby's list of cheap stocks with stable costs.",[],0.0
AGM.A,AGM.A,,,,,
ABG,Asbury Automotive Group Inc,,,,,
RFP,Resolute Forest Products Inc.,,,,,
BSD,BlackRock Strategic Municipal Trust Inc. (The),,,,,
WLL,Whiting Petroleum Corporation,1:None,None,[],,
GLT,Glatfelter,,,,,
FEI,First Trust MLP and Energy Income Fund,,,,,
GRMN,Garmin Ltd.,"5:Early movers: TOL, DISH, SIX, TRCO, FSLR & more","Wednesday, 22 Feb 2017 |  7:54  AM ET","Check out which companies are making headlines before the bell:  Toll Brothers – The luxury home builder came in seven cents a share above estimates, with quarterly profit of 42 cents per share. Revenue at nearly $921 million was well above forecasts of about $888 million. Toll Brothers also raised the low end of its deliveries forecast for the year. Dish Network – The satellite television provider added TV subscribers during the fourth quarter, surprising analysts who had expected a drop in subscribers. Dish added about 28,000 pay-TV customers during the quarter compared to estimates that it would lose 87,000 customers. Wolverine World Wide – The maker of shoe brands like Hush Puppies and Keds earned an adjusted 33 cents per share for its latest quarter, 2 cents a share above estimates. Revenue also beat forecasts. The company is expecting earnings growth for 2017, despite what it sees as persisting macroeconomic challenges. Norwegian Cruise Line – The cruise line operator reported adjusted quarterly profit of 56 cents per share, 1 cent a share above estimates. Revenue also beat Street forecasts. It also sees current-quarter profit above consensus estimates, thanks in part to improved pricing. Six Flags – The theme park operator earned 2 cents per share, 1 cent a share below estimates for its latest quarter, but revenue came in above forecasts. The company said it is seeing stronger attendance and increased purchases of its season passes. Mobileye – The maker of autonomous driving systems came in 2 cents a share above estimates, with quarterly profit of 22 cents per share. Revenue was well above forecasts. The company said it is seeing increased demand for its self-driving systems from a wide range of new customers. Garmin – The maker of GPS and fitness devices reported quarterly profit of 73 cents per share, 16 cents a share above estimates. Revenue beat by a wide margin on improved sales across all of Garmin's categories. Tribune Media – Activist investor Starboard Value has raised its stake in the TV station operator to 6.6 percent from 2.3 percent. Starboard also has a stake in Tronc, the newspaper business spun off from Tribune in 2014. Texas Roadhouse – The company reported quarterly profit of 29 cents per share, 9 cents a share below estimates. The restaurant chain's revenue also missed Street forecasts. Comparable restaurant sales were up 1.2 percent, short of the 3.1 percent consensus estimate. The company points to higher wages, as well as other expenses that negated the benefit of lower input costs. First Solar – First Solar beat estimates by 27 cents a share, with adjusted quarterly profit of $1.24 per share. The solar company's revenue also beat estimates. The company raised its 2017 revenue guidance, due to the timing of a new contract, but also said it had to cancel a planned Arizona facility due to opposition to its location. Facebook – Facebook is in talks with Major League Baseball to live stream one game per week, according to a Reuters report. JPMorgan Chase , HSBC , and Morgan Stanley  – The three banks have reportedly been chosen as lead underwriters for the initial public offering planned by Saudi Aramco, according to The Wall Street Journal. The offering by the state-run Saudi oil company would be the largest ever, with the public stake worth as much as $150 billion and the entire company valued at over $2 trillion. Pfizer – Pfizer will delist its shares from both the Swiss Exchange and the London Stock Exchange. The drug company's shares will continue to trade on the New York Stock Exchange.","[system, came, cent, share, estimate, profit, cent, share, Revenue, forecast, The, company, said, seeing, increased, demand, driving, system, wide, customer, Garmin, The, maker, GPS, fitness, device, reported, profit, cent, share, cent, share, estimate, Revenue, beat, wide, margin, improved, Garmin, category, wide, customer, Garmin, The, maker, GPS, fitness, device, reported, profit, cent, share, cent, share, estimate, Revenue, beat, wide, margin, improved, Garmin, category, Tribune, Media, Activist, investor, Starboard, Value, raised, stake, TV, station, operator, percent, percent, Starboard, stake, Tronc, newspaper, business]",1.0
IPI,"Intrepid Potash, Inc",1:None,None,[],,
MMP,Magellan Midstream Partners L.P.,4:Cramer’s roadmap to finding stocks that will thrive in a new political world,"Friday, 20 Jan 2017 |  6:52  PM ET","  Now that Donald Trump has officially been sworn in as president, Jim Cramer will be using a new metric to evaluate companies.    It all comes down to whether a stock is or isn't a Trump stock. Cramer expects Trump's agenda of deregulation, lower corporate taxes and repatriation of foreign assets to have a significant impact on the economy and stock market.    On the flipside, when Trump has a problem with a company, he's not afraid to Tweet what is on his mind—something that will put certain industries under fire.    ""You will feel a whole lot more comfortable owning the Trump stocks than the non-Trump variety,"" the ""Mad Money"" host said.   The stocks that will benefit the most from Trump's legislative agenda are those that will benefit enormously from deregulation, such as banks and energy stocks.    The Obama administration was focused on fighting climate change, which was good for the environment but bad for the fossil fuel business. Trump's position is the polar opposite.  More importantly, Cramer said the former real estate mogul will have the most pro-petroleum cabinet in history.    ""If the oil the gas industry had a wish list for what their ideal government would look like, you are looking at it,"" Cramer said.    Cramer's top picks were the pipeline plays, since they can make money even if the price of crude keeps falling, like Magellan Midstream and oil service company Schlumberger.    Banks will also benefit from deregulation. Cramer also believes that the President's agenda will jump start the economy and the Federal Reserve will raise interest rates, with banks being the chief beneficiary. Cramer's top picks were Bank of America, JPMorgan, Wells Fargo and Goldman Sachs.    Anything that is directly connected to stronger employment will do well, too, given that Trump has given job creation his top priority. That means payroll processors like Paychex and ADP will do well and Cintas, because more hiring means more uniforms.    Companies with large amounts of cash overseas are potential Trump stocks, like Apple. Infrastructure and defense contractors were on Cramer's list as well.    As for stocks that Cramer thinks will struggle under Trump, the pharmaceutical industry could be under Trump's tweeting microscope. He has said repeatedly that he wants to roll back many of the recent drug price increases. A possible repeal of Obamacare without a replacement could hurt healthcare and drug stocks.    Investors should also worry about any American company that makes things overseas and then exports them back to the U.S.    ""Put it all together, though, and there is a lot more Trump stocks than there are non-Trump stocks,"" Cramer said.    Questions for Cramer?  Call Cramer: 1-800-743-CNBC    Want to take a deep dive into Cramer's world? Hit him up!  Mad Money Twitter -  Jim Cramer Twitter - Facebook - Instagram - Vine    Questions, comments, suggestions for the ""Mad Money"" website? madcap@cnbc.com ","[industry, wish, list, ideal, government, look, like, looking, Cramer, said, Cramer, top, pick, pipeline, play, make, crude, keep, falling, like, Magellan, Midstream, oil, service, company, Schlumberger, Banks, benefit, deregulation, Cramer, belief, President, agenda, jump, start, economy, Federal, Reserve, raise, interest, wish, list, ideal, government, look, like, looking, Cramer, said, Cramer, top, pick, pipeline, play, make, crude, keep, falling, like, Magellan, Midstream, oil, service, company, Schlumberger, Banks, benefit, deregulation, Cramer, belief, President, agenda, jump, start, economy, Federal, Reserve, raise, interest, rate]",0.0
EVI,"EnviroStarm, Inc.",,,,,
LBY,"Libbey, Inc.",1:None,None,[],,
